"","gender","race_ethnicity","parent_edulevel","lunch","test_preparation_course","subject","score"
"726","male","group E","some college","standard","completed","math",81
"727","female","group E","associate's degree","standard","completed","math",65
"728","male","group E","some high school","standard","completed","math",68
"729","female","group D","high school","free/reduced","none","math",73
"730","male","group C","some college","standard","none","math",53
"731","female","group B","associate's degree","free/reduced","completed","math",68
"732","male","group A","some high school","free/reduced","none","math",55
"733","female","group C","some college","standard","completed","math",87
"734","male","group D","some high school","standard","none","math",55
"735","female","group E","some college","free/reduced","none","math",53
"736","male","group C","master's degree","standard","none","math",67
"737","male","group C","associate's degree","standard","none","math",92
"738","female","group B","some college","free/reduced","completed","math",53
"739","male","group D","associate's degree","standard","none","math",81
"740","male","group C","high school","free/reduced","none","math",61
"741","male","group D","bachelor's degree","standard","none","math",80
"742","female","group A","associate's degree","free/reduced","none","math",37
"743","female","group C","high school","standard","none","math",81
"744","female","group C","associate's degree","standard","completed","math",59
"745","male","group B","some college","free/reduced","none","math",55
"746","male","group D","associate's degree","standard","none","math",72
"747","male","group D","high school","standard","none","math",69
"748","male","group C","some college","standard","none","math",69
"749","female","group C","bachelor's degree","free/reduced","none","math",50
"750","male","group B","some college","standard","completed","math",87
"751","male","group D","some high school","standard","completed","math",71
"752","male","group E","some college","standard","none","math",68
"753","male","group C","master's degree","free/reduced","completed","math",79
"754","female","group C","some high school","standard","completed","math",77
"755","male","group C","associate's degree","free/reduced","none","math",58
"756","female","group E","associate's degree","standard","none","math",84
"757","male","group D","some college","standard","none","math",55
"758","male","group E","bachelor's degree","free/reduced","completed","math",70
"759","female","group D","some college","free/reduced","completed","math",52
"760","male","group B","some college","standard","completed","math",69
"761","female","group C","high school","free/reduced","none","math",53
"762","female","group D","some high school","standard","none","math",48
"763","male","group D","some high school","standard","completed","math",78
"764","female","group B","high school","standard","none","math",62
"765","male","group D","some college","standard","none","math",60
"766","female","group B","high school","standard","none","math",74
"767","female","group C","high school","standard","completed","math",58
"768","male","group B","high school","standard","completed","math",76
"769","female","group D","some high school","standard","none","math",68
"770","male","group A","some college","free/reduced","none","math",58
"771","male","group B","high school","standard","none","math",52
"772","male","group D","bachelor's degree","standard","none","math",75
"773","female","group B","some high school","free/reduced","completed","math",52
"774","female","group C","bachelor's degree","free/reduced","none","math",62
"775","male","group B","some college","standard","none","math",66
"776","female","group B","some high school","free/reduced","none","math",49
"777","female","group B","high school","standard","none","math",66
"778","female","group C","some college","free/reduced","none","math",35
"779","female","group A","some college","standard","completed","math",72
"780","male","group E","associate's degree","standard","completed","math",94
"781","female","group D","associate's degree","free/reduced","none","math",46
"782","female","group B","master's degree","standard","none","math",77
"783","female","group B","high school","free/reduced","completed","math",76
"784","female","group C","associate's degree","standard","completed","math",52
"785","male","group C","bachelor's degree","standard","completed","math",91
"786","female","group B","some high school","standard","completed","math",32
"787","female","group E","some high school","free/reduced","none","math",72
"788","female","group B","some college","standard","none","math",19
"789","male","group C","associate's degree","free/reduced","none","math",68
"790","female","group C","master's degree","free/reduced","none","math",52
"791","female","group B","high school","standard","none","math",48
"792","female","group D","some college","free/reduced","none","math",60
"793","male","group D","high school","free/reduced","none","math",66
"794","male","group E","some high school","standard","completed","math",89
"795","female","group B","high school","standard","none","math",42
"796","female","group E","associate's degree","free/reduced","completed","math",57
"797","male","group D","high school","standard","none","math",70
"798","female","group E","associate's degree","free/reduced","none","math",70
"799","male","group E","some college","standard","none","math",69
"800","female","group C","associate's degree","standard","none","math",52
"801","male","group C","some high school","standard","completed","math",67
"802","male","group C","some high school","standard","completed","math",76
"803","female","group E","associate's degree","standard","none","math",87
"804","female","group B","some college","standard","none","math",82
"805","female","group C","some college","standard","none","math",73
"806","male","group A","some college","free/reduced","none","math",75
"807","female","group D","some college","free/reduced","none","math",64
"808","female","group E","high school","free/reduced","none","math",41
"809","male","group C","high school","standard","none","math",90
"810","male","group B","bachelor's degree","standard","none","math",59
"811","male","group A","some high school","standard","none","math",51
"812","male","group A","high school","free/reduced","none","math",45
"813","female","group C","master's degree","standard","completed","math",54
"814","male","group E","some high school","standard","completed","math",87
"815","female","group C","high school","standard","none","math",72
"816","male","group B","some high school","standard","completed","math",94
"817","female","group A","bachelor's degree","standard","none","math",45
"818","male","group D","bachelor's degree","free/reduced","completed","math",61
"819","female","group B","high school","free/reduced","none","math",60
"820","female","group C","some high school","standard","none","math",77
"821","female","group A","some high school","standard","completed","math",85
"822","female","group D","bachelor's degree","free/reduced","none","math",78
"823","male","group E","some college","free/reduced","completed","math",49
"824","female","group B","high school","free/reduced","none","math",71
"825","female","group C","some high school","free/reduced","none","math",48
"826","male","group C","high school","standard","none","math",62
"827","female","group C","associate's degree","free/reduced","completed","math",56
"828","female","group C","some high school","standard","none","math",65
"829","female","group D","some high school","free/reduced","completed","math",69
"830","male","group B","some high school","standard","none","math",68
"831","female","group A","some college","free/reduced","none","math",61
"832","female","group C","bachelor's degree","free/reduced","completed","math",74
"833","male","group A","bachelor's degree","standard","none","math",64
"834","female","group B","high school","standard","completed","math",77
"835","male","group B","some college","standard","none","math",58
"836","female","group C","high school","standard","completed","math",60
"837","male","group E","high school","standard","none","math",73
"838","female","group A","high school","standard","completed","math",75
"839","male","group B","associate's degree","free/reduced","completed","math",58
"840","female","group C","associate's degree","standard","none","math",66
"841","female","group D","high school","free/reduced","none","math",39
"842","male","group C","some high school","standard","none","math",64
"843","female","group B","high school","free/reduced","completed","math",23
"844","male","group B","some college","free/reduced","completed","math",74
"845","female","group D","some high school","free/reduced","completed","math",40
"846","male","group E","master's degree","standard","none","math",90
"847","male","group C","master's degree","standard","completed","math",91
"848","male","group D","high school","standard","none","math",64
"849","female","group C","high school","standard","none","math",59
"850","male","group D","associate's degree","standard","none","math",80
"851","male","group C","master's degree","standard","none","math",71
"852","female","group A","high school","standard","none","math",61
"853","female","group E","some college","standard","none","math",87
"854","male","group E","some high school","standard","none","math",82
"855","male","group C","some high school","standard","none","math",62
"856","female","group B","bachelor's degree","standard","none","math",97
"857","male","group B","some college","free/reduced","none","math",75
"858","female","group C","bachelor's degree","standard","none","math",65
"859","male","group B","high school","standard","completed","math",52
"860","male","group C","associate's degree","free/reduced","none","math",87
"861","female","group C","associate's degree","standard","none","math",53
"862","female","group E","master's degree","free/reduced","none","math",81
"863","male","group D","bachelor's degree","free/reduced","completed","math",39
"864","female","group C","some college","standard","completed","math",71
"865","male","group C","associate's degree","standard","none","math",97
"866","male","group D","some college","standard","completed","math",82
"867","male","group C","high school","free/reduced","none","math",59
"868","male","group B","associate's degree","standard","none","math",61
"869","male","group E","associate's degree","free/reduced","completed","math",78
"870","male","group C","associate's degree","free/reduced","none","math",49
"871","male","group B","high school","standard","none","math",59
"872","female","group C","some college","standard","completed","math",70
"873","male","group B","associate's degree","standard","completed","math",82
"874","male","group E","associate's degree","free/reduced","none","math",90
"875","female","group C","bachelor's degree","free/reduced","none","math",43
"876","male","group C","some college","free/reduced","none","math",80
"877","male","group D","some college","standard","none","math",81
"878","male","group C","some high school","standard","none","math",57
"879","female","group D","some high school","standard","none","math",59
"880","female","group D","associate's degree","standard","none","math",64
"881","male","group C","bachelor's degree","standard","completed","math",63
"882","female","group E","bachelor's degree","standard","completed","math",71
"883","female","group B","high school","free/reduced","none","math",64
"884","male","group D","bachelor's degree","free/reduced","none","math",55
"885","female","group E","associate's degree","standard","none","math",51
"886","female","group C","associate's degree","standard","completed","math",62
"887","female","group E","associate's degree","standard","completed","math",93
"888","male","group C","high school","free/reduced","none","math",54
"889","female","group D","some college","free/reduced","none","math",69
"890","male","group D","high school","free/reduced","none","math",44
"891","female","group E","some college","standard","completed","math",86
"892","female","group E","associate's degree","standard","none","math",85
"893","female","group A","master's degree","free/reduced","none","math",50
"894","male","group D","some high school","standard","completed","math",88
"895","female","group E","associate's degree","standard","none","math",59
"896","female","group E","some high school","free/reduced","none","math",32
"897","male","group B","high school","free/reduced","none","math",36
"898","female","group B","some high school","free/reduced","completed","math",63
"899","male","group D","associate's degree","standard","completed","math",67
"900","female","group D","some high school","standard","completed","math",65
"901","male","group D","master's degree","standard","none","math",85
"902","female","group C","master's degree","standard","none","math",73
"903","female","group A","high school","free/reduced","completed","math",34
"904","female","group D","bachelor's degree","free/reduced","completed","math",93
"905","female","group D","some high school","free/reduced","none","math",67
"906","male","group D","some college","standard","none","math",88
"907","male","group B","high school","standard","none","math",57
"908","female","group D","some college","standard","completed","math",79
"909","female","group C","bachelor's degree","free/reduced","none","math",67
"910","male","group E","bachelor's degree","standard","completed","math",70
"911","male","group D","bachelor's degree","free/reduced","none","math",50
"912","female","group A","some college","standard","none","math",69
"913","female","group C","bachelor's degree","standard","completed","math",52
"914","female","group C","bachelor's degree","free/reduced","completed","math",47
"915","female","group B","associate's degree","free/reduced","none","math",46
"916","female","group E","some college","standard","none","math",68
"917","male","group E","bachelor's degree","standard","completed","math",100
"918","female","group C","high school","standard","none","math",44
"919","female","group C","associate's degree","standard","completed","math",57
"920","male","group B","some college","standard","completed","math",91
"921","male","group D","high school","free/reduced","none","math",69
"922","female","group C","high school","free/reduced","none","math",35
"923","male","group D","high school","standard","none","math",72
"924","female","group B","associate's degree","free/reduced","none","math",54
"925","male","group D","high school","free/reduced","none","math",74
"926","male","group E","some high school","standard","completed","math",74
"927","male","group E","associate's degree","free/reduced","none","math",64
"928","female","group D","high school","free/reduced","completed","math",65
"929","male","group E","associate's degree","free/reduced","completed","math",46
"930","female","group C","some high school","free/reduced","none","math",48
"931","male","group C","some college","free/reduced","completed","math",67
"932","male","group D","some college","free/reduced","none","math",62
"933","male","group D","associate's degree","free/reduced","completed","math",61
"934","male","group C","bachelor's degree","free/reduced","completed","math",70
"935","male","group C","associate's degree","standard","completed","math",98
"936","male","group D","some college","free/reduced","none","math",70
"937","male","group A","associate's degree","standard","none","math",67
"938","female","group E","high school","free/reduced","none","math",57
"939","male","group D","some college","standard","completed","math",85
"940","male","group D","some high school","standard","completed","math",77
"941","male","group C","master's degree","free/reduced","completed","math",72
"942","female","group D","master's degree","standard","none","math",78
"943","male","group C","high school","standard","none","math",81
"944","male","group A","some high school","free/reduced","completed","math",61
"945","female","group B","high school","standard","none","math",58
"946","female","group C","associate's degree","standard","none","math",54
"947","male","group B","high school","standard","none","math",82
"948","female","group D","some college","free/reduced","none","math",49
"949","male","group B","some high school","free/reduced","completed","math",49
"950","female","group E","high school","free/reduced","completed","math",57
"951","male","group E","high school","standard","none","math",94
"952","female","group D","some college","standard","completed","math",75
"953","female","group E","some high school","free/reduced","none","math",74
"954","male","group C","high school","standard","completed","math",58
"955","female","group C","some college","standard","none","math",62
"956","male","group E","associate's degree","standard","none","math",72
"957","male","group C","some college","standard","none","math",84
"958","female","group D","master's degree","standard","none","math",92
"959","female","group D","high school","standard","none","math",45
"960","male","group C","high school","standard","none","math",75
"961","female","group A","some college","standard","none","math",56
"962","female","group D","some high school","free/reduced","none","math",48
"963","female","group E","associate's degree","standard","none","math",100
"964","female","group C","some high school","free/reduced","completed","math",65
"965","male","group D","some college","standard","none","math",72
"966","female","group D","some college","standard","none","math",62
"967","male","group A","some high school","standard","completed","math",66
"968","male","group C","some college","standard","none","math",63
"969","female","group E","associate's degree","standard","none","math",68
"970","female","group B","bachelor's degree","standard","none","math",75
"971","female","group D","bachelor's degree","standard","none","math",89
"972","male","group C","some high school","standard","completed","math",78
"973","female","group A","high school","free/reduced","completed","math",53
"974","female","group D","some college","free/reduced","none","math",49
"975","female","group A","some college","standard","none","math",54
"976","female","group C","some college","standard","completed","math",64
"977","male","group B","some college","free/reduced","completed","math",60
"978","male","group C","associate's degree","standard","none","math",62
"979","male","group D","high school","standard","completed","math",55
"980","female","group C","associate's degree","standard","none","math",91
"981","female","group B","high school","free/reduced","none","math",8
"982","male","group D","some high school","standard","none","math",81
"983","male","group B","some high school","standard","completed","math",79
"984","female","group A","some college","standard","completed","math",78
"985","female","group C","some high school","standard","none","math",74
"986","male","group A","high school","standard","none","math",57
"987","female","group C","associate's degree","standard","none","math",40
"988","male","group E","some high school","standard","completed","math",81
"989","female","group A","some high school","free/reduced","none","math",44
"990","female","group D","some college","free/reduced","completed","math",67
"991","male","group E","high school","free/reduced","completed","math",86
"992","female","group B","some high school","standard","completed","math",65
"993","female","group D","associate's degree","free/reduced","none","math",55
"994","female","group D","bachelor's degree","free/reduced","none","math",62
"995","male","group A","high school","standard","none","math",63
"996","female","group E","master's degree","standard","completed","math",88
"997","male","group C","high school","free/reduced","none","math",62
"998","female","group C","high school","free/reduced","completed","math",59
"999","female","group D","some college","standard","completed","math",68
"1000","female","group D","some college","free/reduced","none","math",77
"1001","female","group B","bachelor's degree","standard","none","reading",72
"1002","female","group C","some college","standard","completed","reading",90
"1003","female","group B","master's degree","standard","none","reading",95
"1004","male","group A","associate's degree","free/reduced","none","reading",57
"1005","male","group C","some college","standard","none","reading",78
"1006","female","group B","associate's degree","standard","none","reading",83
"1007","female","group B","some college","standard","completed","reading",95
"1008","male","group B","some college","free/reduced","none","reading",43
"1009","male","group D","high school","free/reduced","completed","reading",64
"1010","female","group B","high school","free/reduced","none","reading",60
"1011","male","group C","associate's degree","standard","none","reading",54
"1012","male","group D","associate's degree","standard","none","reading",52
"1013","female","group B","high school","standard","none","reading",81
"1014","male","group A","some college","standard","completed","reading",72
"1015","female","group A","master's degree","standard","none","reading",53
"1016","female","group C","some high school","standard","none","reading",75
"1017","male","group C","high school","standard","none","reading",89
"1018","female","group B","some high school","free/reduced","none","reading",32
"1019","male","group C","master's degree","free/reduced","completed","reading",42
"1020","female","group C","associate's degree","free/reduced","none","reading",58
"1021","male","group D","high school","standard","none","reading",69
"1022","female","group B","some college","free/reduced","completed","reading",75
"1023","male","group D","some college","standard","none","reading",54
"1024","female","group C","some high school","standard","none","reading",73
"1025","male","group D","bachelor's degree","free/reduced","completed","reading",71
"1026","male","group A","master's degree","free/reduced","none","reading",74
"1027","male","group B","some college","standard","none","reading",54
"1028","female","group C","bachelor's degree","standard","none","reading",69
"1029","male","group C","high school","standard","none","reading",70
"1030","female","group D","master's degree","standard","none","reading",70
"1031","female","group D","some college","standard","none","reading",74
"1032","female","group B","some college","standard","none","reading",65
"1033","female","group E","master's degree","free/reduced","none","reading",72
"1034","male","group D","some college","standard","none","reading",42
"1035","male","group E","some college","standard","none","reading",87
"1036","male","group E","associate's degree","standard","completed","reading",81
"1037","female","group D","associate's degree","standard","none","reading",81
"1038","female","group D","some high school","free/reduced","none","reading",64
"1039","female","group D","associate's degree","free/reduced","completed","reading",90
"1040","male","group B","associate's degree","free/reduced","none","reading",56
"1041","male","group C","associate's degree","free/reduced","none","reading",61
"1042","female","group C","associate's degree","standard","none","reading",73
"1043","female","group B","associate's degree","standard","none","reading",58
"1044","male","group B","some college","free/reduced","completed","reading",65
"1045","female","group E","associate's degree","free/reduced","none","reading",56
"1046","male","group B","associate's degree","standard","none","reading",54
"1047","female","group A","associate's degree","standard","completed","reading",65
"1048","female","group C","high school","standard","none","reading",71
"1049","female","group D","associate's degree","free/reduced","completed","reading",74
"1050","male","group C","high school","standard","completed","reading",84
"1051","male","group E","some college","standard","none","reading",55
"1052","male","group E","associate's degree","free/reduced","completed","reading",69
"1053","male","group C","some college","standard","none","reading",44
"1054","male","group D","high school","standard","none","reading",78
"1055","female","group C","some high school","free/reduced","completed","reading",84
"1056","female","group C","high school","free/reduced","none","reading",41
"1057","female","group E","associate's degree","standard","completed","reading",85
"1058","male","group D","associate's degree","standard","none","reading",55
"1059","male","group D","some college","standard","completed","reading",59
"1060","female","group C","some high school","free/reduced","none","reading",17
"1061","male","group E","bachelor's degree","free/reduced","completed","reading",74
"1062","male","group A","some high school","free/reduced","none","reading",39
"1063","male","group A","associate's degree","free/reduced","none","reading",61
"1064","female","group C","associate's degree","standard","none","reading",80
"1065","female","group D","some high school","standard","none","reading",58
"1066","male","group B","some high school","standard","none","reading",64
"1067","male","group D","some high school","free/reduced","none","reading",37
"1068","female","group C","some college","standard","none","reading",72
"1069","male","group B","associate's degree","free/reduced","none","reading",58
"1070","female","group C","associate's degree","standard","none","reading",64
"1071","female","group D","some college","free/reduced","completed","reading",63
"1072","male","group D","some college","standard","completed","reading",55
"1073","female","group A","associate's degree","free/reduced","none","reading",51
"1074","male","group C","some high school","free/reduced","none","reading",57
"1075","male","group C","some high school","standard","none","reading",49
"1076","male","group B","associate's degree","free/reduced","none","reading",41
"1077","male","group E","some high school","standard","none","reading",26
"1078","male","group A","bachelor's degree","standard","completed","reading",78
"1079","female","group D","some high school","standard","completed","reading",74
"1080","female","group E","master's degree","standard","none","reading",68
"1081","female","group B","associate's degree","standard","none","reading",49
"1082","male","group B","high school","free/reduced","none","reading",45
"1083","male","group A","some college","free/reduced","completed","reading",47
"1084","male","group E","associate's degree","standard","none","reading",64
"1085","male","group D","high school","free/reduced","none","reading",39
"1086","female","group C","some college","standard","none","reading",80
"1087","female","group C","some college","free/reduced","none","reading",83
"1088","female","group D","associate's degree","standard","none","reading",71
"1089","female","group A","some college","standard","none","reading",70
"1090","female","group D","some high school","standard","none","reading",86
"1091","female","group C","bachelor's degree","standard","none","reading",72
"1092","male","group C","high school","free/reduced","none","reading",34
"1093","male","group C","high school","standard","none","reading",79
"1094","male","group C","associate's degree","free/reduced","completed","reading",45
"1095","female","group B","some college","standard","none","reading",86
"1096","male","group C","associate's degree","free/reduced","completed","reading",81
"1097","male","group B","some high school","standard","completed","reading",66
"1098","female","group E","some college","standard","completed","reading",72
"1099","female","group D","some college","free/reduced","none","reading",67
"1100","female","group D","bachelor's degree","standard","none","reading",67
"1101","male","group B","some college","standard","none","reading",67
"1102","male","group D","bachelor's degree","standard","completed","reading",74
"1103","female","group D","associate's degree","standard","none","reading",91
"1104","male","group B","high school","standard","completed","reading",44
"1105","male","group C","some college","standard","completed","reading",86
"1106","female","group C","some college","standard","none","reading",67
"1107","female","group D","master's degree","standard","none","reading",100
"1108","male","group E","associate's degree","standard","completed","reading",63
"1109","female","group B","associate's degree","free/reduced","none","reading",76
"1110","female","group B","some high school","standard","none","reading",64
"1111","female","group D","associate's degree","free/reduced","completed","reading",89
"1112","male","group C","high school","standard","none","reading",55
"1113","male","group A","associate's degree","standard","none","reading",53
"1114","female","group D","some college","standard","none","reading",58
"1115","female","group E","bachelor's degree","standard","completed","reading",100
"1116","male","group C","high school","standard","none","reading",77
"1117","female","group B","bachelor's degree","free/reduced","none","reading",85
"1118","female","group D","bachelor's degree","standard","none","reading",82
"1119","female","group D","some high school","standard","none","reading",63
"1120","female","group C","some college","standard","none","reading",69
"1121","female","group C","bachelor's degree","standard","completed","reading",92
"1122","male","group B","associate's degree","standard","completed","reading",89
"1123","female","group C","some college","standard","completed","reading",93
"1124","male","group D","high school","free/reduced","none","reading",57
"1125","male","group E","some college","standard","none","reading",80
"1126","female","group B","high school","standard","none","reading",95
"1127","male","group B","some high school","standard","none","reading",68
"1128","male","group D","some college","standard","completed","reading",77
"1129","male","group D","master's degree","standard","none","reading",82
"1130","female","group A","bachelor's degree","standard","none","reading",49
"1131","male","group D","master's degree","standard","none","reading",84
"1132","male","group C","some high school","free/reduced","completed","reading",37
"1133","male","group E","some college","free/reduced","completed","reading",74
"1134","female","group C","some college","standard","completed","reading",81
"1135","male","group D","bachelor's degree","free/reduced","completed","reading",79
"1136","male","group C","bachelor's degree","standard","none","reading",55
"1137","male","group B","some high school","standard","completed","reading",54
"1138","male","group E","high school","standard","none","reading",55
"1139","female","group C","associate's degree","standard","none","reading",66
"1140","male","group D","some college","standard","completed","reading",61
"1141","female","group D","some high school","standard","none","reading",72
"1142","female","group C","some college","free/reduced","none","reading",62
"1143","female","group E","some college","free/reduced","completed","reading",55
"1144","male","group A","high school","standard","none","reading",43
"1145","male","group D","some college","standard","none","reading",73
"1146","female","group C","some college","free/reduced","none","reading",39
"1147","male","group B","some high school","standard","none","reading",84
"1148","male","group C","associate's degree","free/reduced","none","reading",68
"1149","female","group D","bachelor's degree","standard","completed","reading",75
"1150","male","group E","associate's degree","free/reduced","completed","reading",100
"1151","male","group A","some high school","standard","completed","reading",67
"1152","male","group A","bachelor's degree","standard","none","reading",67
"1153","female","group B","associate's degree","standard","completed","reading",70
"1154","male","group D","bachelor's degree","standard","none","reading",49
"1155","male","group D","some high school","standard","none","reading",67
"1156","female","group C","some college","standard","completed","reading",89
"1157","female","group E","high school","free/reduced","completed","reading",74
"1158","male","group B","some college","free/reduced","none","reading",60
"1159","female","group B","associate's degree","standard","completed","reading",86
"1160","male","group D","associate's degree","free/reduced","none","reading",62
"1161","male","group B","associate's degree","free/reduced","completed","reading",78
"1162","female","group E","some college","free/reduced","completed","reading",88
"1163","male","group B","master's degree","free/reduced","none","reading",53
"1164","male","group C","high school","standard","none","reading",53
"1165","female","group E","master's degree","standard","none","reading",92
"1166","female","group C","bachelor's degree","standard","completed","reading",100
"1167","male","group C","high school","free/reduced","completed","reading",51
"1168","female","group B","master's degree","free/reduced","completed","reading",76
"1169","female","group B","high school","standard","completed","reading",83
"1170","female","group C","some college","free/reduced","completed","reading",75
"1171","male","group A","high school","standard","completed","reading",73
"1172","male","group E","some high school","standard","none","reading",88
"1173","female","group D","some college","standard","none","reading",86
"1174","female","group C","associate's degree","standard","none","reading",67
"1175","female","group C","bachelor's degree","free/reduced","completed","reading",51
"1176","female","group C","master's degree","standard","completed","reading",91
"1177","female","group B","high school","free/reduced","completed","reading",54
"1178","female","group C","associate's degree","standard","completed","reading",77
"1179","female","group B","master's degree","free/reduced","completed","reading",70
"1180","female","group D","some high school","standard","completed","reading",100
"1181","male","group C","master's degree","free/reduced","completed","reading",68
"1182","female","group C","some college","free/reduced","none","reading",64
"1183","female","group E","high school","standard","none","reading",50
"1184","female","group D","associate's degree","standard","none","reading",69
"1185","male","group C","some high school","free/reduced","completed","reading",52
"1186","male","group C","associate's degree","free/reduced","completed","reading",67
"1187","male","group E","high school","standard","none","reading",76
"1188","male","group D","some high school","standard","completed","reading",66
"1189","male","group B","some high school","free/reduced","none","reading",52
"1190","female","group C","bachelor's degree","standard","none","reading",88
"1191","female","group E","associate's degree","standard","none","reading",65
"1192","male","group D","some college","standard","completed","reading",83
"1193","female","group B","some high school","standard","none","reading",64
"1194","male","group D","some college","standard","completed","reading",62
"1195","female","group C","master's degree","standard","completed","reading",84
"1196","male","group D","associate's degree","standard","none","reading",55
"1197","male","group C","some high school","free/reduced","completed","reading",69
"1198","male","group E","high school","free/reduced","none","reading",56
"1199","female","group B","some college","free/reduced","none","reading",53
"1200","female","group B","bachelor's degree","free/reduced","none","reading",79
"1201","female","group C","associate's degree","standard","completed","reading",84
"1202","female","group D","some college","free/reduced","none","reading",81
"1203","male","group C","associate's degree","standard","none","reading",77
"1204","female","group B","associate's degree","standard","none","reading",69
"1205","male","group C","some college","standard","none","reading",41
"1206","male","group D","some high school","standard","completed","reading",71
"1207","male","group E","bachelor's degree","standard","none","reading",62
"1208","male","group E","high school","standard","completed","reading",80
"1209","female","group B","some college","free/reduced","none","reading",81
"1210","female","group B","some college","free/reduced","none","reading",61
"1211","male","group D","some high school","free/reduced","completed","reading",79
"1212","male","group C","some college","free/reduced","none","reading",28
"1213","female","group C","high school","free/reduced","none","reading",62
"1214","male","group C","associate's degree","free/reduced","completed","reading",51
"1215","male","group E","high school","standard","completed","reading",91
"1216","male","group B","some high school","standard","completed","reading",83
"1217","female","group E","associate's degree","free/reduced","completed","reading",86
"1218","female","group C","high school","free/reduced","none","reading",42
"1219","male","group B","high school","free/reduced","none","reading",77
"1220","male","group B","some high school","standard","completed","reading",56
"1221","female","group D","high school","standard","completed","reading",68
"1222","male","group B","associate's degree","standard","none","reading",85
"1223","female","group C","some high school","free/reduced","none","reading",65
"1224","male","group D","some high school","standard","none","reading",80
"1225","female","group B","associate's degree","standard","completed","reading",66
"1226","female","group E","master's degree","free/reduced","none","reading",56
"1227","female","group C","some college","standard","none","reading",72
"1228","male","group D","high school","standard","none","reading",50
"1229","male","group A","some high school","free/reduced","none","reading",72
"1230","female","group C","some college","standard","completed","reading",95
"1231","male","group D","some college","standard","none","reading",64
"1232","male","group C","associate's degree","standard","none","reading",43
"1233","female","group B","bachelor's degree","standard","none","reading",86
"1234","male","group E","some high school","standard","none","reading",87
"1235","male","group C","bachelor's degree","standard","completed","reading",82
"1236","male","group D","associate's degree","standard","none","reading",75
"1237","male","group D","bachelor's degree","free/reduced","none","reading",66
"1238","female","group D","some high school","standard","completed","reading",60
"1239","male","group B","some college","standard","none","reading",52
"1240","male","group C","associate's degree","standard","none","reading",80
"1241","male","group D","high school","free/reduced","completed","reading",68
"1242","female","group E","bachelor's degree","standard","none","reading",83
"1243","female","group D","high school","standard","none","reading",52
"1244","male","group E","some college","standard","none","reading",51
"1245","male","group D","some high school","standard","none","reading",74
"1246","male","group C","associate's degree","standard","none","reading",76
"1247","male","group E","associate's degree","standard","none","reading",76
"1248","female","group B","high school","standard","completed","reading",70
"1249","female","group B","high school","standard","none","reading",64
"1250","male","group C","high school","standard","none","reading",60
"1251","male","group A","some high school","standard","completed","reading",49
"1252","female","group D","some college","free/reduced","none","reading",83
"1253","female","group B","some high school","standard","completed","reading",70
"1254","male","group D","master's degree","standard","none","reading",80
"1255","male","group D","high school","standard","none","reading",52
"1256","female","group E","some college","standard","none","reading",73
"1257","female","group C","associate's degree","free/reduced","none","reading",73
"1258","male","group C","associate's degree","standard","completed","reading",77
"1259","female","group B","some college","standard","none","reading",75
"1260","female","group C","master's degree","free/reduced","completed","reading",81
"1261","female","group C","some high school","free/reduced","completed","reading",79
"1262","male","group C","some college","standard","completed","reading",79
"1263","female","group C","some high school","free/reduced","none","reading",50
"1264","female","group E","high school","standard","none","reading",93
"1265","male","group D","high school","standard","none","reading",73
"1266","male","group D","some high school","free/reduced","none","reading",42
"1267","female","group C","bachelor's degree","standard","none","reading",75
"1268","female","group D","high school","standard","none","reading",72
"1269","female","group D","associate's degree","standard","completed","reading",92
"1270","female","group E","some college","free/reduced","none","reading",76
"1271","male","group C","bachelor's degree","standard","none","reading",63
"1272","male","group C","some college","standard","none","reading",49
"1273","female","group D","associate's degree","free/reduced","none","reading",53
"1274","female","group D","some college","standard","none","reading",70
"1275","male","group B","some college","standard","completed","reading",85
"1276","male","group C","bachelor's degree","standard","none","reading",78
"1277","female","group C","some high school","standard","completed","reading",92
"1278","female","group E","high school","standard","completed","reading",63
"1279","female","group C","some high school","free/reduced","none","reading",86
"1280","male","group B","bachelor's degree","free/reduced","none","reading",56
"1281","male","group D","high school","standard","none","reading",52
"1282","male","group D","high school","standard","none","reading",48
"1283","female","group D","bachelor's degree","free/reduced","none","reading",79
"1284","female","group D","some college","free/reduced","completed","reading",78
"1285","female","group B","some high school","standard","none","reading",46
"1286","male","group B","associate's degree","standard","completed","reading",82
"1287","male","group E","associate's degree","standard","completed","reading",82
"1288","female","group B","some high school","standard","none","reading",89
"1289","male","group B","bachelor's degree","free/reduced","none","reading",75
"1290","male","group E","some high school","standard","completed","reading",76
"1291","male","group C","associate's degree","standard","none","reading",70
"1292","male","group D","some high school","standard","none","reading",73
"1293","male","group C","some high school","standard","completed","reading",60
"1294","female","group E","bachelor's degree","standard","none","reading",73
"1295","male","group D","high school","free/reduced","completed","reading",77
"1296","male","group B","associate's degree","free/reduced","none","reading",62
"1297","male","group A","some high school","standard","completed","reading",41
"1298","male","group E","associate's degree","standard","completed","reading",74
"1299","male","group C","high school","free/reduced","completed","reading",46
"1300","male","group D","associate's degree","free/reduced","none","reading",87
"1301","male","group A","some college","free/reduced","completed","reading",78
"1302","male","group D","some high school","free/reduced","none","reading",54
"1303","female","group C","associate's degree","standard","completed","reading",84
"1304","male","group B","associate's degree","standard","none","reading",76
"1305","female","group C","associate's degree","standard","completed","reading",75
"1306","male","group A","some college","standard","none","reading",67
